"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1451","Checkout_TC3_ZipCodeEmpty","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CheckoutPageTests","Surefire test","SauceDemoTests.CheckoutPageTests","Checkout_TC3_ZipCodeEmpty"
"","2026","testLoginWithLockedUser","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testLoginWithLockedUser"
"","1812","loginAndHomeTests","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.HomePageTest","Surefire test","SauceDemoTests.HomePageTest","loginAndHomeTests"
"","771","Cart_Tc3_checkoutWithOneItem","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc3_checkoutWithOneItem"
"","1876","testSuccessfulLoginVerifyProductsPage","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testSuccessfulLoginVerifyProductsPage"
"","1471","Checkout_TC2_FirstNameEmpty","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CheckoutPageTests","Surefire test","SauceDemoTests.CheckoutPageTests","Checkout_TC2_FirstNameEmpty"
"","750","Cart_Tc1_openCartAfterAddingItems","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc1_openCartAfterAddingItems"
"","1779","testValidLoginStandardUser","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testValidLoginStandardUser"
"","2078","testEmptyUsername","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testEmptyUsername"
"","769","Cart_Tc2_removeItemFromCart","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc2_removeItemFromCart"
"","2103","testLockedOutUser","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testLockedOutUser"
"","2023","testEmptyUsernameValidation","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testEmptyUsernameValidation"
"","2061","testInvalidLogin","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testInvalidLogin"
"","2356","Confirmation_TC3_backToHomeAfterCompletion","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CheckoutConfirmationPageTests","Surefire test","SauceDemoTests.CheckoutConfirmationPageTests","Confirmation_TC3_backToHomeAfterCompletion"
"","6914","testPerformanceGlitchUser","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testPerformanceGlitchUser"
"","2546","Confirmation_TC1_finishOrderWithItems","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CheckoutConfirmationPageTests","Surefire test","SauceDemoTests.CheckoutConfirmationPageTests","Confirmation_TC1_finishOrderWithItems"
"","2227","Confirmation_TC2_finishEmptyCartOrder","Surefire suite","2025-11-28","failed","2025-11-28","SauceDemoTests.CheckoutConfirmationPageTests","Surefire test","SauceDemoTests.CheckoutConfirmationPageTests","Confirmation_TC2_finishEmptyCartOrder"
"","879","Cart_Tc4_checkoutWithMultipleItems","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc4_checkoutWithMultipleItems"
"","1455","Checkout_TC1_proceedToFinishOrder_withValidData","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.CheckoutPageTests","Surefire test","SauceDemoTests.CheckoutPageTests","Checkout_TC1_proceedToFinishOrder_withValidData"
"","2044","testFailedLoginWrongCredentials","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testFailedLoginWrongCredentials"
"","1787","testProblemUserLogin","Surefire suite","2025-11-28","passed","2025-11-28","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testProblemUserLogin"
